Ref,Val,Package,PosX,PosY,Rot,Side
"3v3","RH-5117","TESTPOINT-TH_BD3.2-D1.6",121.280000,-203.390000,-90.000000,top
"BT1","BH-18650-B1BA002","BATTERY-SMD_18650-1S-L77.1-W20.7-1",119.965000,-134.875000,90.000000,top
"Batt_power_on_SW1","ST-0-102-C04-N008-RS","SW-TH_ST-0-102-C04-N008-RS",70.290000,-184.925000,-90.000000,top
"C1","FS31X226M160EPG","C1206",81.075000,-210.220000,-90.000000,top
"C2","FS31X226M160EPG","C1206",83.330000,-218.820000,90.000000,top
"C3","FS31X226M160EPG","C1206",87.030000,-220.050000,90.000000,top
"C4","FS31X226M160EPG","C1206",96.700000,-162.450000,180.000000,top
"C5","FS31X226M160EPG","C1206",96.775000,-165.150000,180.000000,top
"C6","FS31X226M160EPG","C1206",96.875000,-167.625000,180.000000,top
"C7","C1206C225K3RACTU","C1206",138.550000,-163.550000,-90.000000,top
"C8","GRM188R71H223KA01D","C0603",124.530000,-170.300000,0.000000,top
"C9","GRM32ER71J106KA12L_C437568","C1210",131.760000,-163.560000,-90.000000,top
"C10","GRM32ER71J106KA12L_C437568","C1210",135.390000,-163.630000,-90.000000,top
"C11","FS31X226M160EPG","C1206",104.435000,-203.725000,0.000000,top
"C12","CL05A105KA5NQNC","C0402",104.770000,-200.440000,0.000000,top
"C13","FS31X226M160EPG","C1206",103.360000,-192.275000,0.000000,top
"C14","FS31X226M160EPG","C1206",110.760000,-193.975000,0.000000,top
"C15","CL05B104KO5NNNC","C0402",130.315000,-247.395000,-90.000000,top
"C16","FS31X226M160EPG","C1206",132.375000,-249.895000,180.000000,top
"C17","CL05A105KA5NQNC","C0402",130.725000,-242.850000,180.000000,top
"C18","CL05B104KO5NNNC","C0402",136.541500,-224.875000,90.000000,top
"C19","CL05B104KO5NNNC","C0402",123.210000,-165.800000,0.000000,top
"C20","CL05B104KO5NNNC","C0402",83.660000,-214.220000,-90.000000,top
"C21","CL05B104KO5NNNC","C0402",97.050000,-173.900000,0.000000,top
"C22","FS31X226M160EPG","C1206",93.070000,-174.680000,180.000000,top
"C23","CL05B104KO5NNNC","C0402",97.420000,-170.700000,180.000000,top
"C24","CL05B104KO5NNNC","C0402",171.450000,-194.570000,90.000000,top
"C25","CL05B104KO5NNNC","C0402",157.930000,-209.940000,-90.000000,top
"C27","FS31X226M160EPG","C1206",133.740000,-247.520000,180.000000,top
