"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","MPN","Manufacturer","LCSC Part"
"3v3,TP1","2","RH-5117","","","","EasyEDA:TESTPOINT-TH_BD3.2-D1.6","https://www.lcsc.com/datasheet/C5199807.pdf","RH-5117","荣和","C5199807"
"Batt_power_on_SW1,USB_power_on_SW1","2","ST-0-102-C04-N008-RS","","","","EasyEDA:SW-TH_ST-0-102-C04-N008-RS","https://www.lcsc.com/datasheet/C1788491.pdf","ST-0-102-C04-N008-RS","YUEN FUNG(源丰)","C1788491"
"BT1,BT2","2","BH-18650-B1BA002","","","","EasyEDA:BATTERY-SMD_18650-1S-L77.1-W20.7-1","https://www.lcsc.com/datasheet/C2988620.pdf","BH-18650-B1BA002","MYOUNG(美阳)","C2988620"
"C1,C2,C3,C4,C5,C6,C11,C13,C14,C16,C22,C27,C30","13","FS31X226M160EPG","","","","EasyEDA:C1206","https://www.lcsc.com/datasheet/C3036083.pdf","FS31X226M160EPG","PSA(信昌电陶)","C3036083"
"C7","1","C1206C225K3RACTU","","","","EasyEDA:C1206","https://www.lcsc.com/datasheet/C2167942.pdf","C1206C225K3RACTU","KEMET(基美)","C2167942"
"C8","1","GRM188R71H223KA01D","","","","EasyEDA:C0603","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_muRata_GRM188R71H223KA01D_22nF-223-10-50V_C77056.html","GRM188R71H223KA01D","muRata(村田)","C77056"
"C9,C10","2","GRM32ER71J106KA12L_C437568","","","","EasyEDA:C1210","https://www.lcsc.com/datasheet/C437568.pdf","GRM32ER71J106KA12L","muRata(村田)","C437568"
"C12,C17,C26","3","CL05A105KA5NQNC","","","","EasyEDA:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL05A105KA5NQNC_1uF-105-10-25V_C52923.html","CL05A105KA5NQNC","SAMSUNG(三星)","C52923"
"C15,C18,C19,C20,C21,C23,C24,C25,C28,C29,C31","11","CL05B104KO5NNNC","","","","EasyEDA:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL05B104KO5NNNC_100nF-104-10-16V_C1525.html","CL05B104KO5NNNC","SAMSUNG(三星)","C1525"
"Card1","1","DM3AT-SF-PEJM5","","","","EasyEDA:SD-SMD_DM3AT-SF-PEJM5","https://lcsc.com/product-detail/Connector-Card-Sockets_Hirose_DM3AT-SF-PEJM5_Hirose-HRS-DM3AT-SF-PEJM5_C114218.html","DM3AT-SF-PEJM5","HRS(广濑)","C114218"
"CN1,CN2","2","S2B-PH-SM4-TB","","","","EasyEDA:CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN","https://lcsc.com/product-detail/_JST-Sales-America_S2B-PH-SM4-TB-LF-SN_JST-Sales-America-S2B-PH-SM4-TB-LF-SN_C295747.html","S2B-PH-SM4-TB(LF)(SN)","JST","C295747"
"D1","1","NSR0320MW2T1G","","","","EasyEDA:SOD-323_L1.8-W1.3-LS2.5-RD","https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_ON_NSR0320MW2T1G_NSR0320MW2T1G_C48192.html","NSR0320MW2T1G","onsemi(安森美)","C48192"
"D2,D3","2","SMBJ5.0A-13-F","","","","EasyEDA:SMB_L4.6-W3.6-LS5.3-RD","https://lcsc.com/product-detail/TVS_DIODES_SMBJ5-0A-13-F_SMBJ5-0A-13-F_C110528.html","SMBJ5.0A-13-F","DIODES(美台)","C110528"
"D4","1","B5819W_C8598","","","","EasyEDA:SOD-123_L2.7-W1.6-LS3.7-RD-1","https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_B5819W-SL_C8598.html","B5819W SL","CJ(江苏长电/长晶)","C8598"
"D5","1","RCLAMP0524P_C907837","","","","EasyEDA:DFN2510-10_L2.5-W1.0-P0.50-BL","https://lcsc.com/product-detail/TVS_TECH-PUBLIC-RCLAMP0524P_C907837.html","RCLAMP0524P","TECH PUBLIC(台舟)","C907837"
"GND1,TP3","2","RH-5002","","","","EasyEDA:TESTPOINT-TH_BD2.5-D1.2_RH-5002","https://www.lcsc.com/datasheet/C5199802.pdf","RH-5002","荣和","C5199802"
"H2,H3,H4,H5,H6,H7,H8,H9","8","~","","","","MountingHole:MountingHole_3.2mm_M3","","","",""
