Comment,Designator,Footprint,LCSC Part #
RH-5117,"3v3,RJ12_5V1",TESTPOINT-TH_BD3.2-D1.6,C5199807
ST-0-102-C04-N008-RS,"Batt_power_on_SW1,USB_power_on_SW1",SW-TH_ST-0-102-C04-N008-RS,C1788491
BH-18650-B1BA002,BT1,BATTERY-SMD_18650-1S-L77.1-W20.7-1,C2988620
FS31X226M160EPG,"C1,C2,C3,C4,C5,C6,C11,C13,C14,C16,C22,C27,C30",C1206,C3036083
C1206C225K3RACTU,C7,C1206,C2167942
GRM188R71H223KA01D,C8,C0603,C77056
GRM32ER71J106KA12L_C437568,"C9,C10",C1210,C437568
CL05A105KA5NQNC,"C12,C17",C0402,C52923
CL05B104KO5NNNC,"C15,C18,C19,C20,C21,C23,C24,C25,C28,C29,C31",C0402,C1525
DM3AT-SF-PEJM5,Card1,SD-SMD_DM3AT-SF-PEJM5,C114218
S2B-PH-SM4-TB,"CN1,CN2",CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN,C295747
NSR0320MW2T1G,D1,SOD-323_L1.8-W1.3-LS2.5-RD,C48192
SMBJ5.0A-13-F,"D2,D3",SMB_L4.6-W3.6-LS5.3-RD,C110528
B5819W_C8598,D4,SOD-123_L2.7-W1.6-LS3.7-RD-1,C8598
RCLAMP0524P_C907837,D5,DFN2510-10_L2.5-W1.0-P0.50-BL,C907837
RH-5002,"GND1,TP3",TESTPOINT-TH_BD2.5-D1.2_RH-5002,C5199802
MDTA32251B-2R2M,"L1,L2",IND-SMD_L3.2-W2.5-BRL3225T100M,C22388372
0603 Green 509-620mcd,"LED1,LED2",LED0603-RD,C12624
KT-0603R,LED1_red1,LED-SMD_L1.6-W0.8-R-RD,C2286
DY-S505016/RGBC/6812F-NL-1T,LED3,LED-SMD_4P-L5.0-W5.0-BR,C524052
KT-0603O,LED3_orange1,LED0603-RD,C111340
AR02BTC5101,"R1,R2",R0402,C317922
RC0603JR-071KL,"R3,R4,R9,R47",R0603,C14676
AR02BTC1002,"R5,R25,R26,R27,R29,R32,R33,R34,R35,R36,R38,R41,R42,R43,R44,R45,R46",R0402,C317926
0402WGF1302TCE,R6,R0402,C25754
0603WAF6040T5E,"R7,R8",R0603,C32183
0402WGF1003TCE,"R10,R12,R21,R22,R39,R40",R0402,C25741
FRC0402F7323TS,R11,R0402,C5159692
CR0603-FX-3012ELF,R13,R0603,C203506
CRCW06037K50FKEA,R14,R0603,C844808
RS-03K1332FT,R15,R0603,C321713
AR03FTC2672,R16,R0603,C234417
HRC0603F2673ENTN,R17,R_0603_1608Metric,C55098397
CR0603-FX-3742ELF,R18,R0603,C203565
RS-03K1583FT,R19,R0603,C321734
ERJP03F3300V,"R20,R30",R0603,C427299
RT0402FRE07309RL,R23,R0402,C327013
SCR0402F68R1,R24,R0402,C3015640
0402WGF3300TCE,R28,R0402,C25104
0603WAF2200T5E,R37,R0603,C22962
KH-PCB-6P6C,RJ1,RJ45-TH_KH-PCB-6P6C,C2683354
MSK12C02,SW1,SW-TH_MSK12C02,C431540
TS665CJ,"SW2,SW3",SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,C393938
SK-1500-L1?,SW4,SW-SMD_6P-P1.50_L2.7-W11.2,C319025
USBLC6-2SC6-ES,U1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C5180249
BQ25185DLHR,U2,WSON-10_L2.2-W2.0-P0.40-BL-EP_TI_DLH0010A,C19725033
TPS61023DRLR,U3,SOT-563_L1.6-W1.2-P0.50-LS1.6-BR,C919459
TPS26625DRCR,U4,VSON-10_L3.0-W3.0-P0.50-TL-EP-1,C2862873
C1206C105K3RACAUTO,"U5,U11,U12,U13",C1206,C2167173
SY8088AAC,U6,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C79313
ESP32-C3-MINI-1-H4X,U7,WIFIM-SMD_ESP32-C3-MINI-1,C41349510
6N137S_C20612601,"U8,U9,U10",SOP-8_L9.7-W6.5-P2.54-LS10.3-BL,C20612601
TYPE-C-31-M-12,USBC1,USB-C_SMD-TYPE-C-31-M-12_1,C165948
